nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
GESHIP,The Great Eastern Shipping Company Limited,Shipping,,Large,False,True
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom - Wireless,Large,True,True
HDFCBANK,HDFC Bank Limited,Financials,Private Sector Banking,Large,True,True
BSE,BSE Limited,Exchange and Data Platform,,Large,False,True
RELIANCE,Reliance Industries Limited,Energy,Integrated Oil & Gas / Retail / Telecom,Large,True,True
ICICIBANK,ICICI Bank Limited,Financials,Private Sector Banking,Large,True,True
IDEA,Vodafone Idea Limited,Telecom - Cellular & Fixed line services,,Large,False,True
AMBER,Amber Enterprises India Limited,Household Appliances,,Large,False,True
SBIN,State Bank of India,Financials,Public Sector Banking,Large,True,True
TATASTEEL,Tata Steel Limited,Materials,Steel,Large,True,True
GLAND,Gland Pharma Limited,Pharmaceuticals,,Large,False,True
INFY,Infosys Limited,Information Technology,IT Services & Consulting,Large,True,True
SOLARINDS,Solar Industries India Limited,Explosives,,Large,False,True
MCX,Multi Commodity Exchange of India Limited,Exchange and Data Platform,,Large,False,True
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products,,Large,False,True
HINDCOPPER,Hindustan Copper Limited,Copper,,Large,False,True
GROWW,Billionbrains Garage Ventures Limited,Stockbroking & Allied,,Large,False,True
HAL,Hindustan Aeronautics Limited,Aerospace & Defense,,Large,False,True
TECHM,Tech Mahindra Limited,Information Technology,IT Services & Consulting,Large,True,True
SCI,Shipping Corporation Of India Limited,Shipping,,Large,False,True
TCS,Tata Consultancy Services Limited,Information Technology,IT Services & Consulting,Large,True,True
TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,,Large,False,True
SAIL,Steel Authority of India Limited,Iron & Steel,,Large,False,True
KAYNES,Kaynes Technology India Limited,Industrial Products,,Large,False,True
AXISBANK,Axis Bank Limited,Financials,Private Sector Banking,Large,True,True
HFCL,HFCL Limited,Telecom - Infrastructure,,Large,False,True
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,Large,True,True
VEDL,Vedanta Limited,Diversified Metals,,Large,False,True
ADANIPOWER,Adani Power Limited,Integrated Power Utilities,,Large,False,True
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Pharmaceuticals,Large,True,True
ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce,,Large,False,True
PNB,Punjab National Bank,Public Sector Bank,,Large,False,True
DIXON,Dixon Technologies (India) Limited,Consumer Electronics,,Large,False,True
M&M,Mahindra & Mahindra Limited,Consumer Discretionary,Automobiles - SUV & Tractors,Large,True,True
COFORGE,Coforge Limited,Computers - Software & Consulting,,Large,False,True
BAJFINANCE,Bajaj Finance Limited,Financials,Non-Banking Finance (NBFC),Large,True,True
KOTAKBANK,Kotak Mahindra Bank Limited,Financials,Private Sector Banking,Large,True,True
PREMIERENE,Premier Energies Limited,Other Electrical Equipment,,Large,False,True
ADANIENT,Adani Enterprises Limited,Energy,Conglomerate / Trading,Large,True,True
COCHINSHIP,Cochin Shipyard Limited,Ship Building & Allied Services,,Large,False,True
INDUSTOWER,Indus Towers Limited,Telecom - Infrastructure,,Large,False,True
